id,subset,key,smiles,formula,level,mwt,nH,nC,nCl,E,H,S,G,dE,dH,dS,dG,zpe,homo,lumo,gap,Mu,alpha,tMu,rotA,rotB,rotC
3-0338,monoCl,HDSBRVCEWNIVBN-UHFFFAOYSA-N,c1ccc2c3c1cccc3c1c(c2)c2c(Cl)ccc3c2c(c1)ccc3,C24H13Cl,xtb2,336.821,13,24,1,-62.600197912185,-62.300410203172,0.000210593459,-62.363198642982,9.963283933296,9.753196302723,0.001663318359,9.257277932742,0.281108534835,-9.4837,-8.224,1.259698389077,1.534,257.263567,-0.086 -0.557 -0.215,0.01284454,0.005270686,0.003873371
3-0338,monoCl,HDSBRVCEWNIVBN-UHFFFAOYSA-N,c1ccc2c3c1cccc3c1c(c2)c2c(Cl)ccc3c2c(c1)ccc3,C24H13Cl,r2scan,336.821,13,24,1,-1382.400287865208,-1382.0934971533,0.0002036246,-1382.1542078138,7.848576568418,7.6314841145,0.0017853626,7.0991780939,0.2888082,-4.5864,-3.1317,1.4547,1.31867,364.25086,-0.10239 -0.46520 -0.20555,0.012658,0.005204,0.003824
3-0338,monoCl,HDSBRVCEWNIVBN-UHFFFAOYSA-N,c1ccc2c3c1cccc3c1c(c2)c2c(Cl)ccc3c2c(c1)ccc3,C24H13Cl,d4tzvp,336.821,13,24,1,-1383.396162861261,-1383.0893721494,0.0002036246,-1383.1500828099,7.731010529469,7.5139180754,0.0017853626,6.9816120561,0.2888082,-6.8049,-1.0032,5.8017,1.35072,347.02123,-0.11402 -0.47339 -0.21282,0.012658,0.005204,0.003824
3-0339,monoCl,HECLSFDSRLQFCD-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2Cl)c2ccccc2c2c1c1ccccc1cc2,C26H15Cl,xtb2,362.859,15,26,1,-67.892125753016,-67.556684894533,0.000225559536,-67.623935470213,10.881653503525,10.645354837002,0.001837634588,10.097464083301,0.314729574035,-9.8894,-7.7059,2.183473266045,1.684,279.859699,0.378 0.424 -0.341,0.007741848,0.005796411,0.003495921
3-0339,monoCl,HECLSFDSRLQFCD-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2Cl)c2ccccc2c2c1c1ccccc1cc2,C26H15Cl,r2scan,362.859,15,26,1,-1459.791644861972,-1459.4482587302,0.0002170666,-1459.5129771279,8.580958019276,8.3367120674,0.0019726368,7.7485702388,0.3234629058,-5.1319,-2.6642,2.4677,1.4821,353.0084,0.31050 0.37853 -0.31670,0.007666,0.005706,0.00345
3-0339,monoCl,HECLSFDSRLQFCD-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2Cl)c2ccccc2c2c1c1ccccc1cc2,C26H15Cl,d4tzvp,362.859,15,26,1,-1460.882262268802,-1460.538876137,0.0002170666,-1460.6035945347,8.461428966764,8.2171830146,0.0019726368,7.6290411875,0.3234629058,-7.6346,-0.3142,7.3204,1.52492,337.73662,0.31585 0.39208 -0.32626,0.007666,0.005706,0.00345
3-0340,monoCl,HETAGJTWQYAJDG-UHFFFAOYSA-N,c1ccc2c(c1)c1ccc3c4c1c(c2)c(Cl)cc4ccc3,C20H11Cl,xtb2,286.761,11,20,1,-53.0253158546,-52.773166568732,0.00019168875,-52.830318569447,8.348552889043,8.171940511335,0.001386534506,7.758545247249,0.236286371112,-9.9371,-7.9069,2.030190519006,2.003,217.287682,0.024 0.788 -0.000,0.01477964,0.008627967,0.005447727
3-0340,monoCl,HETAGJTWQYAJDG-UHFFFAOYSA-N,c1ccc2c(c1)c1ccc3c4c1c(c2)c(Cl)cc4ccc3,C20H11Cl,r2scan,286.761,11,20,1,-1228.817733860595,-1228.5602810288,0.0001867199,-1228.6159515534,6.589430284247,6.4075128276,0.0014881387,5.9638241361,0.2419886576,-5.1297,-2.7328,2.3969,1.84485,272.15885,0.02690 0.72531 -0.00001,0.014584,0.008567,0.005397
3-0340,monoCl,HETAGJTWQYAJDG-UHFFFAOYSA-N,c1ccc2c(c1)c1ccc3c4c1c(c2)c(Cl)cc4ccc3,C20H11Cl,d4tzvp,286.761,11,20,1,-1229.659318024927,-1229.4018651931,0.0001867199,-1229.4575357177,6.495468578947,6.3135511221,0.0014881387,5.8698624317,0.2419886576,-7.4968,-0.461,7.0358,1.82954,264.48608,0.05007 0.71804 -0.00000,0.014584,0.008567,0.005397
3-0341,monoCl,HFPKAIASNOMOFT-UHFFFAOYSA-N,c1c(Cl)cc2c(c1)c1-c3cc4ccccc4c4c3c(-c1cc2)ccc4,C24H13Cl,xtb2,336.821,13,24,1,-62.605305019753,-62.305284651887,0.000213757369,-62.3690164114,9.968391040864,9.758070751438,0.001660154449,9.26309570116,0.281095170135,-10.1456,-8.0082,2.13732520035,2.898,257.137551,1.069 -0.397 -0.000,0.01374149,0.003970269,0.003080294
